1	87097544	40626	d		d
1	87153566	11852	n		n
1	87157536	12693	d		
1	87157537	12694	d		
1	87184723	15450	n		
1	87202778	17665	p		
1	87210267	18432	n		
1	87210456	18540	n		n
1	87210457	44695	n		
1	87210458	18541	n		n
1	87210459	18542	n		
1	87267279	24956	n		
1	87316316	48192	p		
1	87316326	48200	p		
1	88001958	68581	n		
1	88002743	68599	n		
1	88004376	55237	n		
1	88005194	55242			n
1	88010112	55849	n		
1	88014829	56579	n		
1	88055648	118951	n		
1	88069042	119284	p		
1	88091714	67332	n		
1	88095668	74031	d		
1	88103792	68428	n		
1	88103805	64983	p		
1	88112265	75564			n
1	88154034	121366	n		
1	88154043	79656	n		
1	88172298	81936			n
1	88180857	82929	n		
1	88181296	83022			p
1	88196485	122480	n		
1	88196514	111457	d		
1	88228409	88690	n		
1	88238703	106259			n
1	88238705	123373			d
1	88238706	113161	d		
1	88283372	115124	n		
1	89015550	181006			p
1	89022809	193991	n		
1	89023354	181959	p		
1	89031351	198601	n		
1	89042494	194892	p		
1	89078045	155756	n		
1	89093443	156875			d
1	89107034	158176	n		
1	89182887	165240	d		
1	89182888	151080	n		n
1	89184080	165384	p		
1	89190349	140921			n
1	89191190	141020	n		
1	89201699	167321			d
1	89201700	167322	d		
1	89215517	168622	n		
1	89225293	143085	d		
1	89228983	169990			d
1	89244872	143821	d		
1	89264075	173477			p
1	89270656	174078	d		
1	89340916	128568	n		
1	89365014	149478			p
1	90010830	201684	n		
1	90042718	220424	n		
1	90099787	212750	n		
1	90101495	212900	n		
1	90102639	253186	n		
1	90102640	253187	n		
1	90102641	253188	n		
1	90102644	213099	n		
1	90116401	214934	n		
1	90132154	216622	n		
1	90135739	254422	d		
1	90178276	221863	n		
1	90191472	256564	n		
1	90191478	256570	d		
1	90191479	223720	n		
1	90191480	256571	n		
1	90203144	225149			n
1	90235346	229562	n		
1	90270361	234002			p
1	90278894	271065	d		
1	90286638	271256	n		
1	90295182	260646			p
1	90297130	237344	p		
1	90298871	260872	n		
1	90320755	240392			p
1	90320756	240393			p
1	90331554	262225			n
1	90339506	262536			n
1	90350732	244338	n		
1	90374889	247718	n		
1	90377812	248063	n		n
1	90379605	273182	n		
1	90383292	264238			p
1	90386069	264382			n
1	91016083	276804	n		
1	91016084	276805	n		
1	91016129	276848	p		
1	91022922	278235			n
1	91032288	280095	p		
1	91035850	280570	n		
1	91042842	342605			n
1	91055012	284740	n		
1	91057187	285257	n		
1	91073036	288736	n		
1	91076147	289358	n		
1	91085806	343557	n		
1	91103230	294527	n		n
1	91110205	344069	d		
1	91110206	295588	p		
1	91120636	344348	d		
1	91120637	297643	d		
1	91123318	298264			p
1	91123325	298270			n
1	91123331	298276	n		
1	91143735	301602			p
1	91155588	303652	n		
1	91163881	305274	n		
1	91165896	305593	n		
1	91185608	345527			d
1	91223481	315643	n		
1	91226903	316117	p		
1	91229114	346319	d		
1	91241162	318561			n
1	91243929	346546			p
1	91261347	322253	n		
1	91271579	323604	n		
1	91283653	325315	n		
1	91287045	325843	n		
1	91306929	347488	n		
1	91310751	347539	n		
1	91310766	330225	p		
1	91322920	332590	n		
1	91336317	335079	d		
1	91343272	336048	n		
1	91350262	337150	n		
1	91355143	337920	n		
2	87049382	39184			n
2	87057614	949			p
2	87058538	39435	d		
2	87065512	1773			p
2	87076950	33894	p		
2	87079247	40092	n		
2	87083927	3797	d		
2	87085149	40260	n		
2	87097138	40579			n
2	87102503	5784	p		
2	87130385	9302	n		
2	87153769	11961	n		
2	87154262	12062	n		
2	87155540	50896			n
2	87198965	17105	p		
2	87214537	19363	n		
2	87223117	45080			n
2	87224497	52547	n		
2	87230756	21170	p		
2	87230758	52740	n		
2	87233609	21272	n		
2	87254296	23784			d
2	87272039	25880			n
2	87309677	47898	d		
2	87312037	30085	p		
2	87324032	31481			n
2	88003515	55103	p		
2	88023104	57768	n		
2	88034663	118386			p
2	88046843	59972	n		
2	88059689	70925	n		
2	88070102	62909	n		
2	88070131	71341			p
2	88078803	64080			n
2	88091170	119959	p		
2	88103176	104721	n		
2	88104932	74895	n		
2	88170074	81620	n		
2	88190910	84356	n		
2	88208493	86409			n
2	88215703	112275			n
2	88232832	103897	n		
2	88239909	123412	d		
2	88252027	91753	n		
2	88257549	92271	p		
2	88265228	93167	p		
2	88269814	93707			p
2	88273574	124162			n
2	88281432	95259	p		
2	88294310	104240	n		
2	88307379	106984	p		
2	88307502	98260	n		
2	88307990	98359	p		
2	88318826	99650	n		
2	88321959	116619	p		
2	88331045	101402	p		
2	89012391	180555	p		
2	89071147	155502	n		
2	89125202	134601			n
2	89134611	160816	n		
2	89134958	160837	d		
2	89140238	190636	p		
2	89140661	134783	d		
2	89149416	134859			p
2	89164223	140169	d		
